Gene ID	source_id	scaled sense - 40-5 hours post-invasion - unique only	scaled sense - 2-10 hours post-invasion - unique only	scaled sense - 7-15 hours post-invasion - unique only	scaled sense - 12-20 hours post-invasion - unique only	scaled sense - 17-25 hours post-invasion - unique only	scaled sense - 22-30 hours post-invasion - unique only	scaled sense - 27-35 hours post-invasion - unique only	scaled sense - 32-40 hours post-invasion - unique only	Gene Name or Symbol	sense - T05 - unique only	sense - T10 - unique only	sense - T15 - unique only	sense - T20 - unique only	sense - T25 - unique only	sense - T30 - unique only	sense - T35 - unique only	sense - T40 - unique only	3D7 2020 sense - 0hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 8hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 16hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 24hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 32hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 40hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 48hr 3D7 DAFT-seq - unique only
PF3D7_1142800	PF3D7_1142800.1	15.75	5.71	11.06	12.56	113.02	219.83	1021.82	1216.69	ATPTG6	50.36	17.78	37.77	59.56	109.74	214.52	328.86	263.71	51.55	54.71	67.92	84.64	117.87	77.51	60.58
PF3D7_1142900	PF3D7_1142900.1	68.28	4.17	1.92	1.17	3.26	8.87	28.57	366.14	N/A	86.35	21.45	3.54	1.98	1.3	4.08	10.43	100.04	115.98	40.6	21.94	19.33	77.28	150.2	102.83
PF3D7_1143000	PF3D7_1143000.1	10.3	1.63	2.95	0.62	2.76	31.19	191.6	288.15	N/A	16.12	8.03	3.75	2.04	6.34	22.73	40.31	48.31	22.25	30.93	13.81	31.79	14.16	23.85	20.94
PF3D7_1143100	PF3D7_1143100.1	1101.43	179.32	41.18	12.59	20.65	37.93	69.79	161.61	AP2-O	1229.52	535.08	75.04	18.29	8.88	11.06	16.36	119.81	736.95	219.13	86	47.02	118.35	539.92	714.95
PF3D7_1143200	PF3D7_1143200.1	48.48	5.71	3.25	3.45	54.66	29.16	652.74	3488.6	N/A	148.72	34.86	6.36	33.56	17.19	42.15	347.45	693.49	109.86	49.46	37.36	85.65	205.14	223.54	129.34
PF3D7_1143300	PF3D7_1143300.1	54.15	91.22	162.43	132.73	567.19	669.34	838.05	717.56	RPC40	82.08	198.16	268.76	270.94	277.79	238.13	130.48	91.97	183.5	304.92	330.9	261.75	163.57	135.8	165.55
PF3D7_1143400	PF3D7_1143400.1	216.11	454.2	670.36	1079.71	3490.76	5321.41	8144.35	6085.14	N/A	146.2	280.22	529.46	556.37	680.74	597.27	524.6	321.74	174.29	254.55	328.02	308.79	274.29	165.62	169.78
PF3D7_1143500	PF3D7_1143500.1	30.59	4.73	3.44	1.47	7.48	78.47	501.62	621.86	N/A	41.63	12.68	3.04	2.05	5.53	43.92	73.68	88.65	143.93	132.62	108.28	115.09	142.57	144.92	136.04
PF3D7_1143600	PF3D7_1143600.1	7.57	3.96	4.77	3.04	5.97	2.9	16.49	22.84	N/A	14.63	11.23	6.9	5.06	1.59	4.31	4.14	12.09	66.1	62.39	79.36	47.49	43.93	44.08	65.71
PF3D7_1143700	PF3D7_1143700.1	1.9	0.87	1.31	0.56	3.33	14.07	67.64	77.73	N/A	6.4	2.86	1.36	1.06	2.92	15.4	14.79	16.28	30.46	30.33	23.39	29.07	15.81	18.78	28.13
PF3D7_1143800	PF3D7_1143800.1	308.74	144.23	134.01	112.47	365.9	486.87	619.55	286.77	CAP93	340.29	273.75	171.73	173.9	153.91	137.33	81.93	44.34	320.04	291.53	239.59	195.26	137.72	230.09	354.26
PF3D7_1143900	PF3D7_1143900.1	5.17	10.66	24.35	35.28	131.82	213.71	281.19	87.31	N/A	3.73	11.29	22.11	37.08	41.58	42.31	24.07	10.65	18.57	32.64	38.22	36.32	16.34	19	17.26
